resource, consumer1, toxin, environment
19, 96, 15, -1
29, 50, 139, 1
25, 43, 152, 1
41, 49, 156, 1
17, 117, 19, -1
24, 60, 22, -1
21, 37, 151, 1
21, 58, 27, -1
26, 66, 20, -1
35, 35, 142, 1
13, 67, 24, -1
21, 41, 141, 1
24, 44, 156, 1
24, 58, 134, 1
19, 86, 22, -1
46, 21, 166, 1
16, 85, 18, -1
14, 77, 33, -1
15, 113, 13, -1
14, 83, 23, -1
19, 58, 113, 1
41, 34, 182, 1
7, 97, 16, -1
10, 95, 17, -1
17, 72, 144, 1
35, 32, 152, 1
14, 65, 129, 1
10, 70, 19, -1
15, 77, 29, -1
29, 49, 158, 1
18, 74, 15, -1
17, 100, 18, -1
22, 82, 23, -1
14, 78, 22, -1
15, 69, 19, -1
27, 36, 158, 1
20, 60, 138, 1
10, 111, 19, -1
9, 102, 21, -1
15, 76, 20, -1
17, 92, 20, -1
35, 53, 161, 1
16, 66, 36, -1
53, 40, 172, 1
8, 90, 32, -1
18, 81, 19, -1
21, 53, 139, 1
19, 85, 26, -1
30, 44, 138, 1
44, 36, 165, 1
27, 41, 169, 1
22, 75, 24, -1
38, 22, 177, 1
26, 39, 158, 1
18, 50, 146, 1
18, 91, 23, -1
9, 84, 18, -1
22, 50, 141, 1
32, 36, 145, 1
17, 99, 19, -1
13, 73, 19, -1
21, 41, 146, 1
29, 29, 162, 1
11, 89, 18, -1
29, 31, 144, 1
22, 55, 134, 1
24, 74, 21, -1
19, 98, 24, -1
12, 80, 18, -1
54, 13, 184, 1
33, 48, 146, 1
25, 78, 120, 1
27, 50, 140, 1
32, 37, 146, 1
11, 70, 13, -1
17, 80, 21, -1
16, 86, 17, -1
21, 52, 116, 1
22, 46, 130, 1
17, 92, 15, -1
15, 93, 22, -1
21, 103, 18, -1
14, 89, 20, -1
18, 38, 128, 1
37, 49, 145, 1
33, 20, 159, 1
25, 68, 141, 1
25, 50, 167, 1
19, 54, 23, -1
16, 94, 16, -1
21, 62, 133, 1
10, 106, 15, -1
37, 38, 151, 1
17, 80, 24, -1
24, 64, 21, -1
29, 33, 139, 1
34, 27, 162, 1
14, 72, 21, -1
16, 55, 30, -1
