resource, consumer1, toxin, environment
26, 62, 31, 1
48, 0, 120, -1
24, 69, 35, 1
50, 0, 138, -1
48, 0, 136, -1
17, 89, 34, 1
55, 0, 109, -1
47, 0, 125, -1
22, 111, 19, 1
27, 64, 28, 1
42, 0, 129, -1
55, 0, 123, -1
29, 93, 27, 1
58, 0, 130, -1
30, 102, 25, 1
27, 96, 28, 1
202, 0, 133, 1
26, 81, 36, 1
29, 80, 25, 1
19, 92, 33, 1
50, 70, 48, 1
29, 0, 99, -1
60, 0, 118, -1
53, 0, 129, -1
42, 53, 31, 1
52, 0, 124, -1
39, 0, 146, -1
209, 0, 109, 1
54, 0, 135, -1
55, 0, 126, -1
26, 100, 17, 1
38, 55, 33, 1
28, 85, 45, 1
36, 70, 31, 1
40, 0, 125, -1
55, 0, 120, -1
14, 86, 39, 1
56, 0, 125, -1
53, 0, 134, -1
30, 72, 47, 1
41, 75, 30, 1
64, 0, 113, -1
39, 0, 89, -1
14, 113, 27, 1
54, 0, 137, -1
165, 0, 129, 1
41, 0, 118, -1
44, 0, 129, -1
45, 0, 121, -1
59, 0, 102, -1
36, 46, 48, 1
52, 0, 117, -1
24, 87, 40, 1
43, 48, 46, 1
54, 0, 116, -1
38, 0, 100, -1
33, 68, 45, 1
220, 0, 129, 1
45, 0, 120, -1
194, 0, 103, 1
53, 0, 115, -1
53, 0, 128, -1
57, 0, 122, -1
12, 110, 27, 1
25, 71, 40, 1
43, 0, 126, -1
212, 0, 114, 1
66, 0, 118, -1
35, 64, 25, 1
56, 0, 142, -1
53, 0, 109, -1
52, 0, 142, -1
43, 54, 36, 1
41, 77, 37, 1
44, 0, 124, -1
35, 81, 26, 1
41, 0, 113, -1
43, 0, 133, -1
56, 0, 120, -1
38, 0, 132, -1
54, 0, 127, -1
49, 0, 123, -1
31, 85, 39, 1
28, 59, 45, 1
40, 62, 34, 1
20, 89, 34, 1
47, 0, 121, -1
56, 0, 124, -1
54, 0, 127, -1
37, 85, 39, 1
23, 65, 33, 1
21, 95, 22, 1
42, 0, 126, -1
44, 0, 123, -1
59, 0, 128, -1
22, 96, 22, 1
33, 61, 30, 1
18, 84, 27, 1
50, 0, 113, -1
54, 0, 113, -1
28, 85, 41, 1
23, 44, 46, 1
56, 0, 111, -1
43, 0, 132, -1
31, 76, 45, 1
37, 0, 135, -1
42, 40, 48, 1
30, 85, 32, 1
33, 68, 27, 1
41, 59, 46, 1
53, 0, 142, -1
41, 0, 137, -1
49, 0, 144, -1
54, 0, 130, -1
30, 100, 22, 1
30, 73, 37, 1
202, 0, 118, 1
53, 0, 119, -1
28, 61, 41, 1
27, 67, 41, 1
56, 0, 126, -1
43, 0, 128, -1
58, 0, 110, -1
60, 0, 129, -1
50, 0, 116, -1
209, 0, 121, 1
51, 0, 142, -1
29, 58, 39, 1
55, 0, 113, -1
48, 0, 150, -1
31, 73, 39, 1
49, 68, 41, 1
191, 0, 113, 1
31, 72, 32, 1
23, 71, 39, 1
46, 0, 127, -1
195, 0, 115, 1
10, 107, 18, 1
47, 0, 125, -1
46, 0, 131, -1
48, 0, 136, -1
24, 109, 22, 1
23, 106, 23, 1
41, 0, 131, -1
177, 0, 116, 1
34, 85, 35, 1
35, 84, 34, 1
225, 0, 125, 1
54, 0, 122, -1
27, 55, 33, 1
33, 76, 30, 1
38, 67, 42, 1
54, 0, 120, -1
50, 0, 116, -1
62, 0, 121, -1
46, 72, 40, 1
43, 0, 139, -1
46, 0, 125, -1
50, 0, 111, -1
208, 0, 131, 1
40, 0, 133, -1
48, 0, 116, -1
23, 129, 20, 1
200, 0, 142, 1
28, 93, 28, 1
10, 32, 62, -1
33, 80, 27, 1
43, 78, 30, 1
25, 80, 40, 1
26, 86, 27, 1
43, 0, 133, -1
21, 63, 45, 1
39, 63, 42, 1
218, 0, 119, 1
47, 54, 45, 1
17, 97, 22, 1
34, 0, 124, -1
50, 0, 111, -1
27, 94, 28, 1
47, 0, 125, -1
42, 0, 117, -1
29, 86, 24, 1
50, 0, 111, -1
186, 0, 142, 1
49, 0, 109, -1
47, 0, 134, -1
56, 0, 137, -1
42, 39, 57, 1
46, 0, 129, -1
26, 71, 28, 1
41, 52, 54, 1
44, 64, 38, 1
28, 64, 44, 1
26, 93, 22, 1
33, 70, 41, 1
56, 0, 110, -1
23, 89, 24, 1
44, 85, 32, 1
37, 0, 108, -1
26, 77, 31, 1
56, 0, 120, -1
64, 0, 151, -1
48, 1, 106, -1
40, 0, 135, -1
56, 0, 117, -1
55, 0, 117, -1
54, 0, 131, -1
57, 0, 112, -1
151, 0, 112, 1
50, 0, 124, -1
24, 96, 27, 1
52, 0, 119, -1
49, 0, 134, -1
49, 0, 129, -1
37, 50, 30, 1
29, 80, 33, 1
20, 86, 23, 1
195, 0, 149, 1
48, 0, 107, -1
46, 0, 134, -1
48, 44, 49, 1
37, 65, 49, 1
45, 0, 136, -1
44, 79, 32, 1
45, 0, 115, -1
45, 0, 131, -1
51, 0, 135, -1
56, 0, 132, -1
58, 0, 119, -1
205, 0, 147, 1
56, 0, 138, -1
207, 0, 136, 1
58, 0, 113, -1
39, 80, 27, 1
29, 71, 28, 1
47, 0, 124, -1
48, 0, 142, -1
15, 107, 25, 1
49, 0, 131, -1
10, 24, 55, -1
28, 71, 37, 1
50, 0, 126, -1
44, 64, 30, 1
48, 0, 124, -1
51, 0, 123, -1
51, 0, 131, -1
47, 0, 144, -1
75, 0, 123, -1
53, 0, 117, -1
36, 0, 124, -1
57, 0, 136, -1
56, 0, 111, -1
25, 57, 36, 1
22, 73, 26, 1
20, 71, 31, 1
24, 64, 36, 1
26, 59, 37, 1
38, 70, 38, 1
45, 0, 121, -1
24, 81, 33, 1
30, 64, 39, 1
24, 72, 32, 1
21, 122, 18, 1
49, 0, 138, -1
26, 67, 35, 1
51, 0, 113, -1
156, 0, 125, 1
16, 115, 26, 1
22, 125, 18, 1
191, 0, 133, 1
30, 46, 50, 1
20, 98, 21, 1
17, 100, 24, 1
30, 67, 35, 1
25, 59, 32, 1
27, 84, 32, 1
60, 0, 133, -1
44, 0, 104, -1
31, 68, 37, 1
22, 88, 38, 1
34, 51, 36, 1
36, 0, 125, -1
40, 0, 119, -1
28, 59, 35, 1
54, 0, 132, -1
54, 0, 121, -1
24, 91, 35, 1
56, 0, 120, -1
38, 62, 45, 1
55, 0, 125, -1
61, 0, 132, -1
31, 77, 21, 1
48, 0, 117, -1
42, 0, 122, -1
55, 0, 142, -1
40, 0, 126, -1
27, 114, 34, 1
53, 0, 139, -1
63, 0, 134, -1
16, 91, 23, 1
30, 66, 40, 1
26, 68, 39, 1
53, 0, 111, -1
55, 0, 121, -1
43, 0, 136, -1
56, 0, 134, -1
37, 0, 110, -1
44, 0, 128, -1
43, 0, 136, -1
55, 0, 129, -1
15, 97, 30, 1
42, 67, 48, 1
33, 61, 42, 1
45, 88, 39, 1
53, 0, 123, -1
40, 0, 113, -1
46, 0, 126, -1
23, 87, 17, 1
44, 91, 43, 1
25, 74, 31, 1
17, 67, 37, 1
219, 0, 142, 1
27, 89, 31, 1
39, 55, 44, 1
192, 0, 125, 1
27, 70, 32, 1
21, 92, 29, 1
23, 58, 41, 1
57, 0, 136, -1
52, 0, 127, -1
31, 79, 16, 1
50, 48, 53, 1
38, 68, 36, 1
40, 0, 126, -1
62, 0, 138, -1
18, 126, 13, 1
41, 0, 104, -1
60, 0, 119, -1
31, 80, 27, 1
81, 0, 153, 1
39, 74, 42, 1
34, 86, 32, 1
44, 0, 124, -1
32, 81, 30, 1
25, 89, 29, 1
23, 81, 29, 1
46, 0, 137, -1
63, 0, 112, -1
22, 10, 81, -1
19, 96, 25, 1
45, 0, 122, -1
50, 0, 108, -1
225, 0, 129, 1
58, 0, 120, -1
55, 0, 121, -1
25, 65, 34, 1
38, 77, 41, 1
28, 60, 31, 1
47, 0, 106, -1
186, 0, 140, 1
201, 0, 117, 1
15, 97, 23, 1
33, 61, 36, 1
43, 0, 139, -1
48, 0, 122, -1
36, 47, 46, 1
20, 94, 21, 1
50, 0, 125, -1
42, 0, 104, -1
58, 0, 130, -1
50, 0, 120, -1
52, 0, 142, -1
64, 0, 134, -1
50, 0, 121, -1
28, 70, 30, 1
39, 0, 124, -1
24, 100, 25, 1
23, 91, 20, 1
26, 45, 52, 1
28, 80, 31, 1
208, 0, 121, 1
47, 60, 42, 1
34, 83, 23, 1
19, 80, 36, 1
43, 61, 55, 1
38, 58, 36, 1
52, 0, 107, -1
57, 0, 131, -1
54, 0, 129, -1
48, 0, 132, -1
21, 75, 34, 1
47, 0, 141, -1
57, 0, 122, -1
17, 90, 14, 1
