trial, S1, S2, R, T, xi
702,0,67,46,21,1 
703,0,0,61,118,-1 
704,0,0,48,104,-1 
705,0,67,22,17,1 
706,39,0,43,36,1 
707,0,0,45,112,-1 
708,0,0,199,119,1 
709,0,75,24,34,1 
710,0,0,63,137,-1 
711,0,0,58,115,-1 
712,0,0,48,136,-1 
713,0,0,53,126,-1 
714,0,0,213,111,1 
715,0,0,46,125,-1 
716,68,0,20,27,1 
717,0,0,55,121,-1 
718,0,0,45,134,-1 
719,0,0,48,130,-1 
720,0,0,39,140,-1 
721,0,75,27,19,1 
722,0,0,47,133,-1 
723,83,0,37,16,1 
724,0,0,50,131,-1 
725,0,0,213,104,1 
726,57,0,36,25,1 
727,0,0,50,139,-1 
728,83,0,26,14,1 
729,62,0,27,27,1 
730,43,0,55,40,1 
731,0,0,215,132,1 
732,0,0,53,137,-1 
733,0,95,24,15,1 
734,34,21,46,29,1 
735,70,0,32,28,1 
736,0,0,204,138,1 
737,0,0,214,132,1 
738,0,0,199,127,1 
739,0,0,43,124,-1 
740,0,0,46,149,-1 
741,0,114,23,10,1 
742,0,0,46,121,-1 
743,19,8,62,47,1 
744,0,44,54,57,1 
745,0,40,50,45,1 
746,0,0,50,114,-1 
747,0,0,47,130,-1 
748,0,0,47,116,-1 
749,0,0,52,130,-1 
750,0,58,28,18,1 
751,0,0,42,130,-1 
752,0,0,65,105,-1 
753,0,0,175,134,1 
754,0,0,42,134,-1 
755,0,76,29,19,1 
756,0,0,50,126,-1 
757,88,0,17,23,1 
758,0,0,55,128,-1 
759,0,0,33,125,-1 
760,0,90,24,17,1 
761,0,0,43,119,-1 
762,82,0,34,21,1 
763,0,0,53,124,-1 
764,0,0,47,127,-1 
765,0,0,56,115,-1 
766,0,0,52,131,-1 
767,0,0,48,118,-1 
768,81,0,34,23,1 
769,0,0,64,114,-1 
770,0,0,46,139,-1 
771,0,0,57,144,1 
772,0,0,33,116,-1 
773,71,0,24,23,1 
774,0,0,39,143,-1 
775,0,0,51,127,-1 
776,0,0,190,136,1 
777,0,0,44,127,-1 
778,73,0,45,36,1 
779,37,0,49,42,1 
780,0,0,37,100,-1 
781,0,0,48,111,-1 
782,0,0,60,126,-1 
783,54,0,37,28,1 
784,0,101,27,17,1 
785,0,57,42,34,1 
786,49,0,27,36,1 
787,55,0,30,36,1 
788,0,0,52,122,-1 
789,0,0,47,122,-1 
790,0,0,55,119,-1 
791,0,0,50,113,-1 
792,0,0,39,117,-1 
793,52,0,40,30,1 
794,0,1,39,101,-1 
795,77,0,36,20,1 
796,0,0,41,129,-1 
797,0,0,51,120,-1 
798,0,0,54,121,-1 
799,88,0,26,19,1 
800,0,0,50,126,-1 
801,0,0,53,124,-1 
802,0,0,40,128,-1 
803,0,59,52,29,1 
804,0,0,33,117,-1 
805,0,0,58,110,-1 
806,0,0,45,133,-1 
807,0,66,28,22,1 
808,0,0,41,130,-1 
809,0,0,211,133,1 
810,0,0,35,114,-1 
811,0,72,21,16,1 
812,20,7,55,41,1 
813,0,0,37,141,-1 
814,0,0,53,107,-1 
815,0,0,53,119,-1 
816,0,0,48,133,-1 
817,0,77,22,30,1 
818,0,0,207,133,1 
819,59,0,42,37,1 
820,0,62,41,27,1 
821,0,0,50,136,-1 
822,62,0,27,17,1 
823,0,0,68,129,-1 
824,0,0,199,118,1 
825,16,44,26,21,1 
826,0,0,50,122,-1 
